dataset	co1_species	count	pct_id	accession_species	accession	total_count	fractional_count				dataset	co1_species
Adobe-B8.trim_1	Drosophila_melanogaster	6889	99.82037886	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	6890	0.999854862				Adobe-B8.trim_1	Drosophila_melanogaster
Adobe-B8.trim_2	Drosophila_melanogaster	7440	99.78124059	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	7441	0.999865609				Adobe-B8.trim_2	Drosophila_melanogaster
Adobe-C1.trim_1	Drosophila_melanogaster	1188	99.90013468	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1189	0.999158957				Adobe-C1.trim_1	Drosophila_melanogaster
Adobe-C1.trim_2	Drosophila_melanogaster	1177	99.86519116	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1177	1				Adobe-C1.trim_2	Drosophila_melanogaster
Adobe-C2.trim_1	Drosophila_melanogaster	615	99.89718699	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	615	1				Adobe-C2.trim_1	Drosophila_melanogaster
Adobe-C2.trim_2	Drosophila_melanogaster	610	99.93455738	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	610	1				Adobe-C2.trim_2	Drosophila_melanogaster
Briarwood-D10.trim_1	Drosophila_melanogaster	13261	99.76200664	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	13261	1				Briarwood-D10.trim_1	Drosophila_melanogaster
Briarwood-D10.trim_2	Drosophila_melanogaster	13237	99.70971519	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	13238	0.99992446				Briarwood-D10.trim_2	Drosophila_melanogaster
Briarwood-D9.trim_1	Drosophila_melanogaster	3360	99.65519345	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	3361	0.99970247				Briarwood-D9.trim_1	Drosophila_melanogaster
Briarwood-D9.trim_2	Drosophila_melanogaster	3475	99.66981583	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	3475	1				Briarwood-D9.trim_2	Drosophila_melanogaster
CVID-0825-B1.trim_1	Drosophila_melanogaster	4311	99.71094178	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	4317	0.998610146				CVID-0825-B1.trim_1	Drosophila_melanogaster
CVID-0825-B1.trim_2	Drosophila_melanogaster	4523	99.66115631	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	4529	0.998675204				CVID-0825-B1.trim_2	Drosophila_melanogaster
CVID-0825-C10.trim_1	Drosophila_melanogaster	11173	99.78961514	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	11174	0.999910507				CVID-0825-C10.trim_1	Drosophila_melanogaster
CVID-0825-C10.trim_2	Drosophila_melanogaster	11104	99.74888148	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	11104	1				CVID-0825-C10.trim_2	Drosophila_melanogaster
CVID-0911-E3.trim_1	Drosophila_melanogaster	4155	99.71700361	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	4155	1				CVID-0911-E3.trim_1	Drosophila_melanogaster
CVID-0911-E3.trim_2	Drosophila_melanogaster	4309	99.66292643	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	4309	1				CVID-0911-E3.trim_2	Drosophila_melanogaster
CVID-0911-F3.trim_1	Drosophila_melanogaster	1059	99.7292729	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1059	1				CVID-0911-F3.trim_1	Drosophila_melanogaster
CVID-0911-F3.trim_2	Drosophila_melanogaster	1090	99.6973578	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1091	0.99908341				CVID-0911-F3.trim_2	Drosophila_melanogaster
CVID-0911-F4.trim_1	Drosophila_melanogaster	1116	99.79274194	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1117	0.999104745				CVID-0911-F4.trim_1	Drosophila_melanogaster
CVID-0911-F4.trim_2	Drosophila_melanogaster	1095	99.79536986	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1098	0.99726776				CVID-0911-F4.trim_2	Drosophila_melanogaster
CVID-1006-G6.trim_1	Drosophila_melanogaster	9096	99.71948109	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	9101	0.99945061				CVID-1006-G6.trim_1	Drosophila_melanogaster
CVID-1006-G6.trim_2	Drosophila_melanogaster	9389	99.68270849	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	9393	0.999574151				CVID-1006-G6.trim_2	Drosophila_melanogaster
CVID-1006-G7.trim_1	Drosophila_melanogaster	6644	99.78920078	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	6644	1				CVID-1006-G7.trim_1	Drosophila_melanogaster
CVID-1006-G7.trim_2	Drosophila_melanogaster	6689	99.76413814	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	6690	0.999850523				CVID-1006-G7.trim_2	Drosophila_melanogaster
CVID-1006-H2.trim_1	Drosophila_melanogaster	5668	99.71736768	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	5670	0.999647266				CVID-1006-H2.trim_1	Drosophila_melanogaster
CVID-1006-H2.trim_2	Drosophila_melanogaster	5759	99.68848064	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	5760	0.999826389				CVID-1006-H2.trim_2	Drosophila_melanogaster
CVID-1006-H3.trim_1	Drosophila_melanogaster	5408	99.72823595	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	5410	0.999630314				CVID-1006-H3.trim_1	Drosophila_melanogaster
CVID-1006-H3.trim_2	Drosophila_melanogaster	5651	99.65699699	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	5653	0.999646206				CVID-1006-H3.trim_2	Drosophila_melanogaster
CVID-1006-H4.trim_1	Drosophila_melanogaster	5367	99.77950624	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	5368	0.999813711				CVID-1006-H4.trim_1	Drosophila_melanogaster
CVID-1006-H4.trim_2	Drosophila_melanogaster	5435	99.7694885	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	5436	0.999816041				CVID-1006-H4.trim_2	Drosophila_melanogaster
HeLa-pos.trim_2	Phortica_pavriarista	1	96.67	KJ083023.1:1-1534_Phortica_pavriarista	KJ083023.1:1-1534	1	1				HeLa-pos.trim_2	Phortica_pavriarista
James-A4.trim_1	Drosophila_melanogaster	5242	99.82498665	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	5302	0.988683516				James-A4.trim_1	Drosophila_melanogaster
James-A4.trim_1	Drosophila_funebris	57	99.54842105	OY282429.1:3397-4933_Drosophila_funebris	OY282429.1:3397-4933	5302	0.01075066				James-A4.trim_1	Drosophila_funebris
James-A4.trim_2	Drosophila_melanogaster	5564	99.78654385	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	5625	0.989155556				James-A4.trim_2	Drosophila_melanogaster
James-A4.trim_2	Drosophila_funebris	60	99.58833333	OY282429.1:3397-4933_Drosophila_funebris	OY282429.1:3397-4933	5625	0.010666667				James-A4.trim_2	Drosophila_funebris
James-A5.trim_1	Drosophila_melanogaster	2793	99.88975653	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2794	0.99964209				James-A5.trim_1	Drosophila_melanogaster
James-A5.trim_2	Drosophila_melanogaster	2803	99.87834106	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2803	1				James-A5.trim_2	Drosophila_melanogaster
ME-F-1.trim_1	Drosophila_melanogaster	165323	99.81284915	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	165340	0.999897182				ME-F-1.trim_1	Drosophila_melanogaster
ME-F-1.trim_2	Drosophila_melanogaster	169847	99.78076039	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	169862	0.999911693				ME-F-1.trim_2	Drosophila_melanogaster
ME-F-2.trim_1	Drosophila_melanogaster	1795	99.8230585	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1795	1				ME-F-2.trim_1	Drosophila_melanogaster
ME-F-2.trim_2	Drosophila_melanogaster	1877	99.79329249	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1877	1				ME-F-2.trim_2	Drosophila_melanogaster
ME-F-3.trim_1	Drosophila_melanogaster	125	99.90408	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	125	1				ME-F-3.trim_1	Drosophila_melanogaster
ME-F-3.trim_2	Drosophila_melanogaster	126	99.8981746	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	126	1				ME-F-3.trim_2	Drosophila_melanogaster
ME-F-9.trim_1	Drosophila_melanogaster	34205	99.49749686	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	34219	0.999590871				ME-F-9.trim_1	Drosophila_melanogaster
ME-F-9.trim_2	Drosophila_melanogaster	34292	99.54268372	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	34306	0.999591908				ME-F-9.trim_2	Drosophila_melanogaster
ME-M-1.trim_1	Drosophila_melanogaster	2100	99.81090952	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2100	1				ME-M-1.trim_1	Drosophila_melanogaster
ME-M-1.trim_2	Drosophila_melanogaster	2190	99.81350685	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2190	1				ME-M-1.trim_2	Drosophila_melanogaster
ME-M-10.trim_1	Drosophila_melanogaster	1236	99.84970874	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1236	1				ME-M-10.trim_1	Drosophila_melanogaster
ME-M-10.trim_2	Drosophila_melanogaster	1294	99.79169243	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1294	1				ME-M-10.trim_2	Drosophila_melanogaster
ME-M-11.trim_1	Drosophila_melanogaster	1943	99.73637159	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1945	0.998971722				ME-M-11.trim_1	Drosophila_melanogaster
ME-M-11.trim_2	Drosophila_melanogaster	1981	99.72805149	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1983	0.998991427				ME-M-11.trim_2	Drosophila_melanogaster
ME-M-13.trim_1	Drosophila_melanogaster	69887	99.77485126	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	69897	0.999856932				ME-M-13.trim_1	Drosophila_melanogaster
ME-M-13.trim_2	Drosophila_melanogaster	72391	99.75573552	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	72399	0.999889501				ME-M-13.trim_2	Drosophila_melanogaster
ME-M-14.trim_1	Drosophila_melanogaster	4780	99.79041632	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	4785	0.998955068				ME-M-14.trim_1	Drosophila_melanogaster
ME-M-14.trim_2	Drosophila_melanogaster	4843	99.79203386	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	4849	0.998762631				ME-M-14.trim_2	Drosophila_melanogaster
ME-M-17.trim_1	Drosophila_melanogaster	808	99.82820545	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	808	1				ME-M-17.trim_1	Drosophila_melanogaster
ME-M-17.trim_2	Drosophila_melanogaster	828	99.81910628	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	828	1				ME-M-17.trim_2	Drosophila_melanogaster
ME-M-18.trim_1	Drosophila_melanogaster	1675	99.81066866	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1675	1				ME-M-18.trim_1	Drosophila_melanogaster
ME-M-18.trim_2	Drosophila_melanogaster	1674	99.82237754	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	1674	1				ME-M-18.trim_2	Drosophila_melanogaster
ME-M-19.trim_1	Drosophila_melanogaster	17244	99.81586233	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	17245	0.999942012				ME-M-19.trim_1	Drosophila_melanogaster
ME-M-19.trim_2	Drosophila_melanogaster	17299	99.79660443	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	17300	0.999942197				ME-M-19.trim_2	Drosophila_melanogaster
ME-M-2.trim_1	Drosophila_melanogaster	3628	99.87353914	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	3629	0.999724442				ME-M-2.trim_1	Drosophila_melanogaster
ME-M-2.trim_2	Drosophila_melanogaster	3566	99.85325294	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	3566	1				ME-M-2.trim_2	Drosophila_melanogaster
ME-M-20.trim_1	Drosophila_melanogaster	3380	99.81781065	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	3380	1				ME-M-20.trim_1	Drosophila_melanogaster
ME-M-20.trim_2	Drosophila_melanogaster	3610	99.76883657	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	3610	1				ME-M-20.trim_2	Drosophila_melanogaster
ME-M-3.trim_1	Drosophila_simulans	2285	99.80826258	AY518673.1:1477-3011_Drosophila_simulans	AY518673.1:1477-3011	2360	0.968220339				ME-M-3.trim_1	Drosophila_simulans
ME-M-3.trim_1	Drosophila_melanogaster	61	99.78704918	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2360	0.025847458				ME-M-3.trim_1	Drosophila_melanogaster
ME-M-3.trim_2	Drosophila_simulans	2359	99.80674862	AY518673.1:1477-3011_Drosophila_simulans	AY518673.1:1477-3011	2446	0.964431725				ME-M-3.trim_2	Drosophila_simulans
ME-M-3.trim_2	Drosophila_melanogaster	67	99.88507463	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2446	0.02739166				ME-M-3.trim_2	Drosophila_melanogaster
ME-M-4.trim_1	Drosophila_melanogaster	5514	99.79336235	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	5516	0.999637418				ME-M-4.trim_1	Drosophila_melanogaster
ME-M-4.trim_2	Drosophila_melanogaster	5459	99.75860231	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	5462	0.999450751				ME-M-4.trim_2	Drosophila_melanogaster
ME-M-6.trim_1	Drosophila_melanogaster	209	99.82038278	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	209	1				ME-M-6.trim_1	Drosophila_melanogaster
ME-M-6.trim_2	Drosophila_melanogaster	205	99.83268293	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	205	1				ME-M-6.trim_2	Drosophila_melanogaster
ME-M-7.trim_1	Drosophila_melanogaster	49182	99.81278415	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	49208	0.999471631				ME-M-7.trim_1	Drosophila_melanogaster
ME-M-7.trim_2	Drosophila_melanogaster	51564	99.77370646	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	51588	0.999534776				ME-M-7.trim_2	Drosophila_melanogaster
ME-M-8.trim_1	Drosophila_melanogaster	2319	99.8048771	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2319	1				ME-M-8.trim_1	Drosophila_melanogaster
ME-M-8.trim_2	Drosophila_melanogaster	2485	99.7656338	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2485	1				ME-M-8.trim_2	Drosophila_melanogaster
ME-M-9.trim_1	Drosophila_melanogaster	3453	99.68729511	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	3457	0.998842927				ME-M-9.trim_1	Drosophila_melanogaster
ME-M-9.trim_2	Drosophila_melanogaster	3623	99.57791333	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	3628	0.99862183				ME-M-9.trim_2	Drosophila_melanogaster
Myrtle-D1.trim_1	Drosophila_melanogaster	6553	99.91133221	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	6553	1				Myrtle-D1.trim_1	Drosophila_melanogaster
Myrtle-D1.trim_2	Drosophila_melanogaster	6470	99.86516074	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	6470	1				Myrtle-D1.trim_2	Drosophila_melanogaster
Myrtle-D11.trim_1	Drosophila_melanogaster	2064	99.79993217	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2071	0.99661999				Myrtle-D11.trim_1	Drosophila_melanogaster
Myrtle-D11.trim_2	Drosophila_melanogaster	2255	99.81416851	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2263	0.99646487				Myrtle-D11.trim_2	Drosophila_melanogaster
Myrtle-D5.trim_1	Drosophila_melanogaster	4510	99.83262971	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	4510	1				Myrtle-D5.trim_1	Drosophila_melanogaster
Myrtle-D5.trim_2	Drosophila_melanogaster	4907	99.7772366	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	4907	1				Myrtle-D5.trim_2	Drosophila_melanogaster
Myrtle-D8.trim_1	Drosophila_melanogaster	11867	99.91647341	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	11867	1				Myrtle-D8.trim_1	Drosophila_melanogaster
Myrtle-D8.trim_2	Drosophila_melanogaster	11719	99.8646062	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	11719	1				Myrtle-D8.trim_2	Drosophila_melanogaster
Myrtle-E10.trim_1	Drosophila_melanogaster	2638	99.6886467	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2643	0.99810821				Myrtle-E10.trim_1	Drosophila_melanogaster
Myrtle-E10.trim_2	Drosophila_melanogaster	2826	99.65773531	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	2831	0.99823384				Myrtle-E10.trim_2	Drosophila_melanogaster
Myrtle-E4.trim_1	Drosophila_melanogaster	10278	99.82489395	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	10282	0.999610971				Myrtle-E4.trim_1	Drosophila_melanogaster
Myrtle-E4.trim_2	Drosophila_melanogaster	11181	99.76666041	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	11185	0.999642378				Myrtle-E4.trim_2	Drosophila_melanogaster
Myrtle-E9.trim_1	Drosophila_melanogaster	6217	99.74213447	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	6218	0.999839177				Myrtle-E9.trim_1	Drosophila_melanogaster
Myrtle-E9.trim_2	Drosophila_melanogaster	6236	99.73030468	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	6237	0.999839667				Myrtle-E9.trim_2	Drosophila_melanogaster
OH-F-2.trim_1	Phortica_saltiaristula	2	96.815	HQ011974.1:1-1534_Phortica_saltiaristula	HQ011974.1:1-1534	4	0.5				OH-F-2.trim_1	Phortica_saltiaristula
OH-F-2.trim_1	Drosophila_angor	1	100	DQ471539.1:1-1500_Drosophila_angor	DQ471539.1:1-1500	4	0.25				OH-F-2.trim_1	Drosophila_angor
OH-F-2.trim_1	Mycodrosophila_sp	1	95.12	JF273081.1:1-1535_Mycodrosophila_sp	JF273081.1:1-1535	4	0.25				OH-F-2.trim_1	Mycodrosophila_sp
OH-F-2.trim_2	Phortica_saltiaristula	1	98.33	HQ011974.1:1-1534_Phortica_saltiaristula	HQ011974.1:1-1534	3	0.333333333				OH-F-2.trim_2	Phortica_saltiaristula
OH-F-2.trim_2	Stegana_aotsukai	1	97.56	HQ842776.1:1-1534_Stegana_aotsukai	HQ842776.1:1-1534	3	0.333333333				OH-F-2.trim_2	Stegana_aotsukai
OH-F-2.trim_2	Liodrosophila_aerea	1	97.56	JF273080.1:1-1535_Liodrosophila_aerea	JF273080.1:1-1535	3	0.333333333				OH-F-2.trim_2	Liodrosophila_aerea
OH-F-3.trim_1	Phortica_saltiaristula	3	97.89333333	HQ011974.1:1-1534_Phortica_saltiaristula	HQ011974.1:1-1534	6	0.5				OH-F-3.trim_1	Phortica_saltiaristula
OH-F-3.trim_1	Drosophila_bunnanda	1	98.21	AB669747.1:1-1536_Drosophila_bunnanda	AB669747.1:1-1536	6	0.166666667				OH-F-3.trim_1	Drosophila_bunnanda
OH-F-3.trim_1	Drosophila_neokadai	1	100	AY750098.1:1-1499_Drosophila_neokadai	AY750098.1:1-1499	6	0.166666667				OH-F-3.trim_1	Drosophila_neokadai
OH-F-3.trim_1	Drosophila_petalopeza	1	98.41	MK277094.1:1-1469_Drosophila_petalopeza	MK277094.1:1-1469	6	0.166666667				OH-F-3.trim_1	Drosophila_petalopeza
OH-F-3.trim_2	Phortica_saltiaristula	2	99.22	HQ011974.1:1-1534_Phortica_saltiaristula	HQ011974.1:1-1534	4	0.5				OH-F-3.trim_2	Phortica_saltiaristula
OH-F-3.trim_2	Drosophila_bunnanda	1	98.25	AB669747.1:1-1536_Drosophila_bunnanda	AB669747.1:1-1536	4	0.25				OH-F-3.trim_2	Drosophila_bunnanda
OH-F-3.trim_2	Drosophila_petalopeza	1	98.41	MK277094.1:1-1469_Drosophila_petalopeza	MK277094.1:1-1469	4	0.25				OH-F-3.trim_2	Drosophila_petalopeza
OH-M-3.trim_1	Mycodrosophila_sp	1	94.12	JF273081.1:1-1535_Mycodrosophila_sp	JF273081.1:1-1535	1	1				OH-M-3.trim_1	Mycodrosophila_sp
OH-M-5.trim_1	Drosophila_melanogaster	3314	99.66491853	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	3324	0.996991576				OH-M-5.trim_1	Drosophila_melanogaster
OH-M-5.trim_2	Drosophila_melanogaster	3367	99.64389367	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	3375	0.99762963				OH-M-5.trim_2	Drosophila_melanogaster
OH-M-6.trim_1	Phortica_melanopous	2	98	HQ011965.1:1-1534_Phortica_melanopous	HQ011965.1:1-1534	4	0.5				OH-M-6.trim_1	Phortica_melanopous
OH-M-6.trim_1	Phortica_saltiaristula	1	98.53	HQ011974.1:1-1534_Phortica_saltiaristula	HQ011974.1:1-1534	4	0.25				OH-M-6.trim_1	Phortica_saltiaristula
OH-M-6.trim_1	Drosophila_histrio	1	100	OY282583.1:3468-5003_Drosophila_histrio	OY282583.1:3468-5003	4	0.25				OH-M-6.trim_1	Drosophila_histrio
OH-M-6.trim_2	Phortica_saltiaristula	2	98.435	HQ011974.1:1-1534_Phortica_saltiaristula	HQ011974.1:1-1534	3	0.666666667				OH-M-6.trim_2	Phortica_saltiaristula
OH-M-6.trim_2	Drosophila_histrio	1	100	OY282583.1:3468-5003_Drosophila_histrio	OY282583.1:3468-5003	3	0.333333333				OH-M-6.trim_2	Drosophila_histrio
OH-M-7.trim_1	Drosophila_melanogaster	4	99.325	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	4	1				OH-M-7.trim_1	Drosophila_melanogaster
OH-M-7.trim_2	Drosophila_melanogaster	4	99.8325	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	4	1				OH-M-7.trim_2	Drosophila_melanogaster
Peach-1-B2.trim_1	Drosophila_melanogaster	495	99.81438384	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	495	1				Peach-1-B2.trim_1	Drosophila_melanogaster
Peach-1-B2.trim_2	Drosophila_melanogaster	510	99.79468627	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	510	1				Peach-1-B2.trim_2	Drosophila_melanogaster
Peach-10-F10.trim_1	Drosophila_melanogaster	11796	99.79679722	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	11797	0.999915233				Peach-10-F10.trim_1	Drosophila_melanogaster
Peach-10-F10.trim_2	Drosophila_melanogaster	11790	99.75342833	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	11790	1				Peach-10-F10.trim_2	Drosophila_melanogaster
Peach-11-F11.trim_1	Drosophila_melanogaster	19220	99.78360094	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	19220	1				Peach-11-F11.trim_1	Drosophila_melanogaster
Peach-11-F11.trim_2	Drosophila_melanogaster	19212	99.73814855	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	19212	1				Peach-11-F11.trim_2	Drosophila_melanogaster
Peach-12-H1.trim_1	Drosophila_melanogaster	19028	99.78563906	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	19029	0.999947449				Peach-12-H1.trim_1	Drosophila_melanogaster
Peach-12-H1.trim_2	Drosophila_melanogaster	18806	99.75684781	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	18807	0.999946828				Peach-12-H1.trim_2	Drosophila_melanogaster
Peach-13-H7.trim_1	Drosophila_melanogaster	18054	99.79016894	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	18056	0.999889233				Peach-13-H7.trim_1	Drosophila_melanogaster
Peach-13-H7.trim_2	Drosophila_melanogaster	17787	99.73139709	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	17789	0.999887571				Peach-13-H7.trim_2	Drosophila_melanogaster
Peach-2-B4.trim_1	Drosophila_melanogaster	7819	99.74141578	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	7820	0.999872123				Peach-2-B4.trim_1	Drosophila_melanogaster
Peach-2-B4.trim_2	Drosophila_melanogaster	7924	99.68211131	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	7924	1				Peach-2-B4.trim_2	Drosophila_melanogaster
Peach-3-B5.trim_1	Drosophila_melanogaster	9237	99.74757281	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	9237	1				Peach-3-B5.trim_1	Drosophila_melanogaster
Peach-3-B5.trim_2	Drosophila_melanogaster	9311	99.7051509	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	9311	1				Peach-3-B5.trim_2	Drosophila_melanogaster
Peach-4-B7.trim_1	Drosophila_melanogaster	11165	99.74711867	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	11167	0.999820901				Peach-4-B7.trim_1	Drosophila_melanogaster
Peach-4-B7.trim_2	Drosophila_melanogaster	11249	99.71928171	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	11253	0.999644539				Peach-4-B7.trim_2	Drosophila_melanogaster
Peach-5-B9.trim_1	Drosophila_melanogaster	12942	99.76468629	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	12943	0.999922738				Peach-5-B9.trim_1	Drosophila_melanogaster
Peach-5-B9.trim_2	Drosophila_melanogaster	12986	99.71717234	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	12987	0.999923				Peach-5-B9.trim_2	Drosophila_melanogaster
Peach-6-E5.trim_1	Drosophila_melanogaster	17715	99.75194807	KX889417.2:1474-3009_Drosophila_melanogaster	KX889417.2:1474-3009	17716	0.999943554				Peach-6-E5.trim_1	Drosophila_melanogaster
